seed,PL_dispersal,capacity,habitat_width,sigma,kernel_exponent,mean_distance,sd_distance,max_distance,excess_kurtosis
29408,TRUE,10,50,0.2,5,0.203071,0.0967045,1.34495,2.98511
35649,TRUE,10,50,0.2,5,0.203498,0.0971843,1.06355,2.42546
42889,TRUE,10,50,0.2,5,0.20528,0.0966171,1.031,1.81535
40179,TRUE,10,50,0.2,5,0.203043,0.0962098,0.84802,0.8268
22316,TRUE,10,50,0.2,5,0.204129,0.0968224,0.915853,1.56337
15429,TRUE,10,50,0.2,5,0.204387,0.0968927,0.979361,1.2035
36788,TRUE,10,50,0.2,5,0.204864,0.0972729,1.18786,2.16268
37733,TRUE,10,50,0.2,5,0.202263,0.0964527,1.08315,1.91339
54380,TRUE,10,50,0.2,5,0.204357,0.0982869,1.03649,1.81626
250,TRUE,10,50,0.2,5,0.20372,0.0966802,1.17818,2.29819
40937,FALSE,10,50,0.2,1,0.315398,0.137603,0.980836,0.382432
40633,TRUE,10,50,0.2,5,0.202937,0.0949947,1.07317,1.56675
55388,TRUE,10,50,0.2,5,0.203026,0.0957831,1.47477,4.41001
36127,TRUE,10,50,0.2,5,0.204108,0.0960803,1.08626,1.33091
7096,TRUE,10,50,0.2,5,0.202446,0.0951525,1.17671,1.57763
10850,TRUE,10,50,0.2,5,0.203439,0.0963242,1.17108,1.83005
53146,TRUE,10,50,0.2,5,0.203424,0.0971211,0.97742,1.30352
43704,TRUE,10,50,0.2,5,0.203895,0.0957794,1.00496,1.02695
52754,TRUE,10,50,0.2,5,0.202744,0.095572,1.35127,2.89707
30772,TRUE,10,50,0.2,5,0.204001,0.0968017,1.33645,3.42555
28182,TRUE,10,50,0.2,5,0.204509,0.0968939,1.00399,2.28923
64742,FALSE,10,50,0.2,1,0.315804,0.136329,0.986622,0.31221
49831,TRUE,10,50,0.2,5,0.203629,0.0959457,1.37487,3.76817
51920,TRUE,10,50,0.2,5,0.204147,0.0961065,0.905141,0.972356
38179,TRUE,10,50,0.2,5,0.203905,0.0951463,1.00296,1.26281
42423,TRUE,10,50,0.2,5,0.203717,0.09636,1.06404,2.03515
49262,TRUE,10,50,0.2,5,0.204686,0.0973679,1.25388,2.58288
56430,TRUE,10,50,0.2,5,0.20347,0.0964365,0.994416,1.20327
57943,TRUE,10,50,0.2,5,0.203948,0.0969262,1.15528,1.39514
28810,TRUE,10,50,0.2,5,0.203396,0.0963299,1.17285,2.25018
59593,TRUE,10,50,0.2,5,0.203579,0.0969238,1.87407,6.5916
55500,TRUE,10,50,0.2,5,0.203314,0.0962443,1.03634,1.70938
17872,FALSE,10,50,0.2,1,0.314993,0.135635,1.08735,0.36637
9362,TRUE,10,50,0.2,5,0.203636,0.0971261,1.03863,1.8578
18344,TRUE,10,50,0.2,5,0.203714,0.0980634,1.82253,7.03315
41918,TRUE,10,50,0.2,5,0.203401,0.0960479,1.04837,1.57899
38642,TRUE,10,50,0.2,5,0.203309,0.0954333,0.845724,1.02338
32244,TRUE,10,50,0.2,5,0.205505,0.0977048,1.1386,2.45043
25763,TRUE,10,50,0.2,5,0.203222,0.0964484,0.971217,1.47542
10960,TRUE,10,50,0.2,5,0.204758,0.101545,4.30461,145.861
35799,TRUE,10,50,0.2,5,0.202998,0.0960465,1.19952,1.83988
61678,TRUE,10,50,0.2,5,0.203148,0.0953601,1.05716,1.72466
7462,TRUE,10,50,0.2,5,0.203582,0.0969634,1.2197,2.5807
55684,FALSE,10,50,0.2,1,0.316523,0.138172,1.01533,0.401346
37867,TRUE,10,50,0.2,5,0.203178,0.0965865,1.34462,2.03509
20761,TRUE,10,50,0.2,5,0.204481,0.0962996,1.14208,1.8206
13932,TRUE,10,50,0.2,5,0.20372,0.0989632,2.43169,16.4735
32452,TRUE,10,50,0.2,5,0.203594,0.0972824,1.37258,3.41345
29011,TRUE,10,50,0.2,5,0.202706,0.0950995,0.93608,1.28286
16808,TRUE,10,50,0.2,5,0.202683,0.0975243,1.49178,3.98777
57646,TRUE,10,50,0.2,5,0.20347,0.0967591,1.68427,4.30901
25666,TRUE,10,50,0.2,5,0.203874,0.0974484,1.42393,3.12192
43215,TRUE,10,50,0.2,5,0.204846,0.0977681,1.61693,4.8627
54262,TRUE,10,50,0.2,5,0.2032,0.0952056,0.866561,1.36895
26675,FALSE,10,50,0.2,1,0.315814,0.137031,1.18455,0.49275
44267,TRUE,10,50,0.2,5,0.203465,0.0960433,1.0022200000000001,1.45043
17144,TRUE,10,50,0.2,5,0.203877,0.0957599,0.857956,0.81601
5960,TRUE,10,50,0.2,5,0.203392,0.0964549,0.906372,1.32431
41446,TRUE,10,50,0.2,5,0.204184,0.0964559,1.23577,2.78886
63467,TRUE,10,50,0.2,5,0.202238,0.0965923,1.25041,3.1122
2633,TRUE,10,50,0.2,5,0.203125,0.0960564,1.55195,3.13413
44691,TRUE,10,50,0.2,5,0.203979,0.0962698,1.226,2.23439
50731,TRUE,10,50,0.2,5,0.202834,0.0969614,1.80951,6.125
49265,TRUE,10,50,0.2,5,0.203538,0.0952346,0.971022,0.942248
21640,TRUE,10,50,0.2,5,0.204834,0.0970887,1.93701,7.58359
5265,FALSE,10,50,0.2,1,0.316783,0.137198,0.993468,0.33127
40815,TRUE,10,50,0.2,5,0.202912,0.096535,0.990847,1.04009
15800,TRUE,10,50,0.2,5,0.204137,0.0976663,1.40709,4.27178
43278,TRUE,10,50,0.2,5,0.204576,0.09659,1.62753,4.27131
27005,TRUE,10,50,0.2,5,0.204201,0.0970874,1.5089,3.15324
17187,TRUE,10,50,0.2,5,0.203768,0.0977959,1.86642,6.4852
21134,TRUE,10,50,0.2,5,0.205285,0.0969041,1.14486,1.62274
38810,TRUE,10,50,0.2,5,0.203349,0.0967292,1.41051,3.17659
22915,TRUE,10,50,0.2,5,0.205077,0.0981313,1.14914,2.88088
63392,TRUE,10,50,0.2,5,0.20347,0.0969944,1.18346,2.30341
49994,TRUE,10,50,0.2,5,0.203866,0.0952538,0.987084,1.52971
15753,FALSE,10,50,0.2,1,0.314725,0.135648,0.980527,0.331265
37134,TRUE,10,50,0.2,5,0.204828,0.0963349,1.02116,1.63605
19495,TRUE,10,50,0.2,5,0.204547,0.0963426,1.08877,1.46823
36647,TRUE,10,50,0.2,5,0.204056,0.0965288,1.39567,2.31762
2366,TRUE,10,50,0.2,5,0.204747,0.0963043,1.15453,1.82285
65244,TRUE,10,50,0.2,5,0.203217,0.0972229,1.50992,4.46851
30070,TRUE,10,50,0.2,5,0.204162,0.0958141,0.96242,1.87792
64344,TRUE,10,50,0.2,5,0.205044,0.0958753,1.13939,1.73955
40259,TRUE,10,50,0.2,5,0.203579,0.0972897,1.22986,3.41796
30795,TRUE,10,50,0.2,5,0.205029,0.0970711,1.76498,4.87374
14920,TRUE,10,50,0.2,5,0.203136,0.0981933,1.22438,2.69828
61613,FALSE,10,50,0.2,1,0.316459,0.136307,1.0158,0.414309
17823,TRUE,10,50,0.2,5,0.204137,0.0972845,1.57978,3.91047
28565,TRUE,10,50,0.2,5,0.204238,0.0971575,1.217,2.24964
3960,TRUE,10,50,0.2,5,0.203841,0.095426,0.965212,1.12758
25329,TRUE,10,50,0.2,5,0.204549,0.0969641,1.06535,1.79956
19276,TRUE,10,50,0.2,5,0.203954,0.0963842,1.14239,2.96608
28834,TRUE,10,50,0.2,5,0.203511,0.0969272,1.16291,1.58652
58546,TRUE,10,50,0.2,5,0.202855,0.0980076,1.16165,2.93411
